dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,weighted_score,vectors
blogcatalog,0.150000,0.150000,0.159003,0.168542,0.000000,0.596547,0.604472,0.296944,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p150.txt
blogcatalog,0.100000,0.100000,0.160887,0.163693,0.000000,0.607750,0.604455,0.296910,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p100.txt
blogcatalog,0.000000,0.400000,0.152535,0.173002,0.000000,0.585362,0.592293,0.296710,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p400.txt
blogcatalog,0.000000,0.250000,0.160528,0.167378,0.000000,0.598279,0.592053,0.296648,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p250.txt
blogcatalog,0.150000,0.100000,0.157605,0.166602,0.000000,0.598995,0.595205,0.296320,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p100.txt
blogcatalog,0.100000,0.250000,0.158564,0.154965,0.000000,0.624015,0.616137,0.295680,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p250.txt
blogcatalog,0.100000,0.150000,0.152935,0.149535,0.000000,0.611951,0.604792,0.288260,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p150.txt
blogcatalog,0.050000,0.400000,0.151435,0.152056,0.000000,0.604770,0.610068,0.287870,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p400.txt
blogcatalog,0.050000,0.100000,0.156102,0.154771,0.000000,0.597488,0.596021,0.287586,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p100.txt
blogcatalog,0.100000,0.350000,0.155942,0.152056,0.000000,0.603762,0.589070,0.287568,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p350.txt
